0,98.75
25,45.8
50,10.15
75,9.75
100,9.8
125,9.5
150,9.5
175,9.55
200,9.65
225,9.75
250,9.45
275,9.55
300,9.65
325,9.4
350,9.45
375,10.45
400,9.35
425,9.65
450,9.75
475,9.6
500,10.65
525,39.1
550,64.7
575,70.35
600,65.35
625,54.15
650,72.45
675,73.65
700,70.4
725,56.35
0,9.9
25,9.55
50,9.6
75,9.8
100,9.8
125,9.7
150,9.65
175,9.75
200,9.85
0,9.1
25,9.65
50,29.15
75,9.75
100,9.6
125,10.1
150,9.7
175,9.65
200,9.45
225,9.3
250,9.65
0,27.2
25,9.3
50,10.0
75,9.7
100,9.95
125,9.6
150,10.05
175,9.85
200,9.55
225,9.5
250,9.35
275,9.4
300,9.95
325,9.45
350,9.5
375,9.85
400,9.55
425,9.45
450,9.75
475,9.6
500,9.45
525,9.7
550,9.3
575,9.75
600,9.35
625,9.7
650,9.75
675,9.4
700,9.95
725,9.45
750,9.7
775,9.8
800,9.95
825,9.55
850,9.6
875,9.25
900,9.45
925,9.9
950,9.45
975,9.3
1000,9.05
1025,9.65
1050,9.65
1075,9.7
1100,9.45
1125,9.6
1150,9.55
1175,9.75
1200,9.4
1225,9.25
1250,9.8
1275,9.65
1300,9.3
1325,9.85
1350,9.5
1375,9.1
1400,9.5
0,10.9
25,9.45
50,9.55
75,9.9
100,10.45
125,9.45
150,9.65
175,9.15
200,9.7
225,9.6
250,9.65
0,16.3
25,26.9
50,18.7
75,16.9
100,16.35
125,16.25
150,16.85
175,19.75
200,22.55
225,30.7
250,27.3
275,29.85
300,29.35
325,29.55
350,29.55
375,36.0
400,32.6
425,30.35
450,33.95
475,36.5
500,31.25
525,31.5
550,33.65
575,34.45
600,32.0
625,34.65
650,32.85
675,33.5
700,34.5
725,34.25
750,34.4
775,29.35
800,29.7
825,30.25
850,32.55
875,31.75
900,34.95
925,36.0
950,34.0
975,33.3
1000,32.95
1025,34.1
1050,33.6
1075,34.5
1100,33.65
1125,32.8
1150,34.5
1175,34.4
1200,32.55
1225,36.4
1250,33.55
1275,35.85
1300,29.85
1325,33.8
1350,30.5
1375,33.95
1400,34.7
1425,35.9
1450,29.65
1475,34.15
1500,33.35
1525,30.65
1550,33.35
1575,35.6
1600,34.3
1625,30.05
1650,32.3
1675,32.3
1700,38.45
1725,37.25
1750,34.05
1775,32.55
1800,33.35
1825,34.4
1850,36.0
0,17.9
25,9.7
50,9.45
75,9.7
100,9.9
125,9.65
150,9.3
175,10.1
200,9.5
225,9.4
250,9.75
